SCREEN LINE,DIRECTION,NUMBER OF STATIONS,TOTAL VEHICLES,TOTAL PERSONS,TOTAL AUTO,TOTAL AUTO PERSONS,TOTAL LIGHT TRUCKS,TOTAL TRUCKS (EXCLUDING LIGHT TRUCKS),TOTAL TRANSIT,TOTAL TRANSIT PERSONS,TOTAL BUSES,TOTAL BUS PASSENGERS,TOTAL LOCAL BUSES,TOTAL LOCAL BUS PASSENGERS,TOTAL BICYCLES,TOTAL MOTORCYCLES,TOTAL SUBWAY PASSENGERS,TOTAL GO TRAIN PASSENGERS,TOTAL PEDESTRIANS
1010I Hwy 401 North (Inbound),East/South/West,42,513508,618387,437482,532270,42506,28573,4995,86117,4947,81078,2480,57337,0,0,0,5039,0
1010O Hwy 401 North (Outbound),East/North/West,47,515607,623231,441977,535606,42065,26656,4957,87625,4909,82946,2519,59478,0,0,0,4679,0
1011I Taylor Creek-Victoria Park (Inbound),South/West,11,132323,232298,115540,143193,10361,4788,3085,89105,1634,25697,1003,19507,0,0,54105,9303,0
1011O Taylor Creek-Victoria Park (Outbound),East/North,11,123931,217253,107191,133590,9986,5132,3305,83663,1622,25452,1001,19024,0,0,49336,8875,0
1012I Railway Cordon North (North Toronto Subdivision) (Inbound),South,14,107285,277876,90970,114357,11755,3081,4827,163519,1479,28476,1020,25084,0,0,135043,0,0
1012O Railway Cordon North (North Toronto Subdivision) (Outbound),North,14,97891,256069,82805,103671,10481,3153,4798,152398,1452,25032,1024,22104,0,0,127366,0,0
1014I Central Area Cordon West (Bathurst St) (After 1986) (Inbound),East,24,137359,280851,114493,141498,14360,6905,3235,139353,1601,34314,1006,26918,0,0,86797,18242,0
1014O Central Area Cordon West (Bathurst St) (After 1986) (Outbound),West,23,129949,268827,106445,133178,15292,6661,3188,135649,1551,29172,985,21303,0,0,89164,17313,0
1031I Railway Cordon West (Newmarket Subdivision) (Inbound),East/North,17,138066,258618,113050,139289,15055,7845,3684,119329,2116,35149,1603,28132,0,0,65938,18242,0
1031O Railway Cordon West (Newmarket Subdivision) (Outbound),South/West,17,127358,245437,102930,129223,15054,7311,3658,116214,2063,31746,1510,23921,0,0,67155,17313,0
1035I Central Area Cordon East (Don River) (Inbound),North/South/West,17,140998,278772,117197,145725,15125,7285,2978,133047,1391,23326,912,19548,0,0,98762,10959,0
1035O Central Area Cordon East (Don River) (Outbound),East/North/South,17,125036,231212,102252,126959,14564,6861,2940,104253,1359,19988,904,16573,0,0,74256,10009,0
1058I Central Area Cordon North (Inbound),South,6,67791,213323,59415,72603,6570,1369,3785,140720,437,5677,164,2982,0,0,135043,0,0
1058O Central Area Cordon North (Outbound),North,6,60795,197296,53076,64943,5769,1518,3778,132353,432,4987,164,2840,0,0,127366,0,0
